"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Favorites API","Проверка параметра Долгота (lon)","Разрешенные символы","0","1","1","0","0"
"Favorites API","Проверка параметра Широта (lat)","Невалидный диапазон","0","2","2","0","0"
"Favorites API","Проверка параметра Название (title)","Разрешенные символы","0","2","3","0","0"
"Favorites API","Проверка параметра Долгота (lon)","Создание избранного места без долготы","0","1","0","0","0"
"Favorites API","Проверка параметра Долгота (lon)","Валидный диапазон","0","2","3","0","0"
"Favorites API","Проверка параметра Долгота (lon)","Невалидный диапазон","0","1","3","0","0"
"Favorites API","Проверка параметра Широта (lat)","Недопустимые символы","0","2","3","0","0"
"Favorites API","Проверка параметра Широта (lat)","Разрешенные символы","0","1","1","0","0"
"Favorites API","Проверка параметра Широта (lat)","Валидный диапазон","0","2","3","0","0"
"Favorites API","Проверка параметра Название (title)","Запрещенные символы","2","1","1","0","0"
"Favorites API","Проверка параметра Название (title)","Валидная длина","0","2","3","0","0"
"Favorites API","Проверка поля Цвет (color)","Параметр не передан","0","0","1","0","0"
"Favorites API","Проверка поля Цвет (color)","Невалидные значения","0","2","3","0","0"
"Favorites API","Проверка поля Цвет (color)","Валидные значения","0","1","3","0","0"
"Favorites API","Проверка параметра Название (title)","Обязательный параметр присутствует","0","1","0","0","0"
"Favorites API","Проверка параметра Долгота (lon)","Недопустимые символы","0","2","3","0","0"
"Favorites API","Проверка параметра Название (title)","Невалидная длина","1","0","1","0","0"
"Favorites API","Проверка параметра Название (title)","Обязательный параметр отсутствует","0","1","0","0","0"
"Favorites API","Проверка параметра Широта (lat)","Обязательный параметр отсутствует","0","0","1","0","0"
